level5.5_linkID,ITS_linkID,road_rank,road_length,road_name,sido_code,sigungu_code,emd_code,sido_name,sigungu_name,emd_name,week_type,velocity_AVRG
1080492,2230157502,107,0.416,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,83.24
1080493,2230157403,107,0.106,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,80.44
1080494,2230066701,107,0.09,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,24.15
1080495,2230066802,107,0.033,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,16.77
1080496,2230066701,107,0.033,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,25.16
1080497,2230066802,107,0.936,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,30.56
1080498,0,107,0.418,큰말길,31,31140,3114055,경기도,오산시,세마동,weekend,31.1
1080499,2230066703,107,0.934,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,36.84
1080502,2230157403,107,0.219,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,51.23
1080503,2230157501,107,0.335,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,49.19
1080504,0,107,0.031,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,16.19
1080505,2230157403,107,0.122,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,29.85
1085655,2230006103,103,0.796,경기대로,31,31140,3114051,경기도,오산시,중앙동,weekend,30.23
1085656,2230006201,103,0.796,경기대로,31,31140,3114051,경기도,오산시,중앙동,weekend,30.59
1085657,2230005402,107,0.451,성호대로,31,31140,3114052,경기도,오산시,대원동,weekend,22.27
1085658,2230005301,107,0.451,성호대로,31,31140,3114052,경기도,오산시,대원동,weekend,23.49
1088715,2230116600,107,1.196,북삼미로,31,31140,3114055,경기도,오산시,세마동,weekend,46.8
1088716,2230116500,107,1.196,북삼미로,31,31140,3114055,경기도,오산시,세마동,weekend,45.48
1088721,2230116900,107,1.498,북삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,51.3
1088722,2230117000,107,1.498,북삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,46.54
1088723,2230188900,107,0.495,내삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,30.16
1088724,2230188700,107,0.495,내삼미로,31,31140,3114054,경기도,오산시,신장동,weekend,26.81
1088725,2230059500,107,0.619,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,20.41
1088726,2230183600,107,0.619,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,19.96
1088727,2230183900,107,0.396,문헌공로,31,31140,3114054,경기도,오산시,신장동,weekend,37.54
1088728,2230184600,107,0.396,문헌공로,31,31140,3114054,경기도,오산시,신장동,weekend,40.57
1088729,2230182100,107,0.503,수목원로,31,31140,3114054,경기도,오산시,신장동,weekend,44.18
1088730,2230182000,107,0.503,수목원로,31,31140,3114054,경기도,오산시,신장동,weekend,42.59
1088731,2230179900,107,1.25,수목원로,31,31140,3114055,경기도,오산시,세마동,weekend,47.82
1088732,2230177400,107,1.25,수목원로,31,31140,3114055,경기도,오산시,세마동,weekend,43.92
1088733,2230039200,107,0.622,대호로,31,31140,3114053,경기도,오산시,남촌동,weekend,23.19
1088734,2230043600,107,0.622,대호로,31,31140,3114053,경기도,오산시,남촌동,weekend,24.41
1088740,2230008002,105,0.28,경기동로,31,31140,3114051,경기도,오산시,중앙동,weekend,41.51
1088741,2230007903,105,0.28,경기동로,31,31140,3114051,경기도,오산시,중앙동,weekend,25.23
1089882,2230001100,103,1.652,경기대로,31,31140,3114052,경기도,오산시,대원동,weekend,43.56
1091033,2230031900,107,0.651,오산로,31,31140,3114051,경기도,오산시,중앙동,weekend,27.33
1091034,2230032200,105,0.755,오산천로,31,31140,3114053,경기도,오산시,남촌동,weekend,29.67
1091035,2230038100,105,0.409,오산천로,31,31140,3114051,경기도,오산시,중앙동,weekend,21.23
1091036,2230032000,107,0.651,오산로,31,31140,3114051,경기도,오산시,중앙동,weekend,24.31
1092137,2230009303,107,1.402,청학로,31,31140,3114054,경기도,오산시,신장동,weekend,36.91
1092145,2230080500,107,0.092,,31,31140,3114055,경기도,오산시,세마동,weekend,32.01
1092146,2230080600,107,0.109,,31,31140,3114055,경기도,오산시,세마동,weekend,37.04
1092147,2230079500,101,1.699,오산화성고속도로,31,31140,3114055,경기도,오산시,세마동,weekend,74.1
1093851,2230006603,106,0.305,가장로,31,31140,3114053,경기도,오산시,남촌동,weekend,50.18
1093852,2230006502,106,0.315,가장로,31,31140,3114053,경기도,오산시,남촌동,weekend,49.06
1093853,2230045700,107,1.402,청학로,31,31140,3114054,경기도,오산시,신장동,weekend,35
1093854,2230006602,106,0.315,가장로,31,31140,3114053,경기도,오산시,남촌동,weekend,54.31
1094251,2230089004,103,0.595,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,49.05
1094252,2230007000,103,1.256,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,52.46
1094408,2230189200,107,0.215,,31,31140,3114054,경기도,오산시,신장동,weekend,20.96
1094409,2230038300,107,1.275,오산로,31,31140,3114054,경기도,오산시,신장동,weekend,30.62
1094882,2230077800,108,0.472,수도권제2순환고속도로(봉담동탄,31,31140,3114055,경기도,오산시,세마동,weekend,61.73
1094883,2230077200,108,0.606,수도권제2순환고속도로(봉담동탄,31,31140,3114055,경기도,오산시,세마동,weekend,69.04
1094884,2230077400,108,0.488,오산화성고속도로,31,31140,3114055,경기도,오산시,세마동,weekend,67.75
1094885,2230077700,108,0.28,오산화성고속도로,31,31140,3114055,경기도,오산시,세마동,weekend,42.4
1095206,2230077700,108,0.334,평택화성고속도로,31,31140,3114055,경기도,오산시,세마동,weekend,66.7
1095207,2230077900,101,1.358,오산화성고속도로,31,31140,3114055,경기도,오산시,세마동,weekend,74.64
1095957,2140663300,107,0.82,청호로,31,31140,3114052,경기도,오산시,대원동,weekend,32.83
1095958,2230191600,107,0.82,청호로,31,31140,3114052,경기도,오산시,대원동,weekend,32.03
1095972,2230037800,107,1.169,운암로,31,31140,3114051,경기도,오산시,중앙동,weekend,27.79
1095973,2230028300,107,1.169,운암로,31,31140,3114051,경기도,오산시,중앙동,weekend,26.7
1096615,2230008202,105,0.366,경기동로,31,31140,3114051,경기도,오산시,중앙동,weekend,35.18
1096616,2230008101,105,0.366,경기동로,31,31140,3114051,경기도,오산시,중앙동,weekend,19.43
1096781,2140056600,103,1.652,경기대로,31,31140,3114052,경기도,오산시,대원동,weekend,45.61
1096992,2230002301,106,0.752,밀머리로,31,31140,3114052,경기도,오산시,대원동,weekend,19.57
1096993,2230002902,106,0.752,밀머리로,31,31140,3114052,경기도,오산시,대원동,weekend,19.22
1097905,2230089006,103,1.256,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,50.92
1097906,2230088902,103,0.595,경기대로,31,31140,3114054,경기도,오산시,신장동,weekend,59.35
1097907,2230188400,107,1.275,오산로,31,31140,3114054,경기도,오산시,신장동,weekend,34.68
1097908,2230189300,107,0.215,,31,31140,3114054,경기도,오산시,신장동,weekend,22.62
5101897,2230003800,101,0.306,경부고속도로,31,31140,3114052,경기도,오산시,대원동,weekend,91.18
5101898,2230004300,108,0.669,경부고속도로,31,31140,3114052,경기도,오산시,대원동,weekend,49.47
5101950,2230049500,107,0.548,대호로,31,31140,3114053,경기도,오산시,남촌동,weekend,35.7
5101951,2230050500,107,0.398,수목원로,31,31140,3114053,경기도,오산시,남촌동,weekend,37.69
5103023,2230180400,107,0.56,경기대로761번길,31,31140,3114055,경기도,오산시,세마동,weekend,37.69
5103024,2230180500,107,0.56,경기대로761번길,31,31140,3114055,경기도,오산시,세마동,weekend,31.37
5103025,2230180500,107,0.027,경기대로761번길,31,31140,3114055,경기도,오산시,세마동,weekend,30.94
5103026,2230180400,107,0.026,경기대로,31,31140,3114055,경기도,오산시,세마동,weekend,21.2
5103027,2230009913,103,0.016,경기대로,31,31140,3114055,경기도,오산시,세마동,weekend,64.71
5103028,2230010013,103,0.016,경기대로,31,31140,3114055,경기도,오산시,세마동,weekend,74.68
5103029,2230010023,103,0.037,경기대로,31,31140,3114055,경기도,오산시,세마동,weekend,74.16
5103030,2230009923,103,0.037,경기대로,31,31140,3114055,경기도,오산시,세마동,weekend,65.12
