,link_id,week_type,velocity_CG_AVRG
691,571251854,weekend,13.12
692,571251864,weekend,19.27
693,571251868,weekend,9.99
694,571251872,weekend,16.06
695,571251874,weekend,16.43
696,571251876,weekend,17.49
697,571251936,weekend,48.1
698,571251936,weekend,43.3
699,571251944,weekend,43.3
700,571251944,weekend,48.1
701,571251950,weekend,48.1
702,571251950,weekend,43.3
703,571251954,weekend,43.3
704,571251954,weekend,48.1
705,571251962,weekend,41.27
706,571251962,weekend,43.84
707,571251966,weekend,50.33
708,571251966,weekend,51.75
709,571251968,weekend,51.75
710,571251968,weekend,50.33
711,571251970,weekend,43.3
712,571251970,weekend,48.1
713,571251972,weekend,48.1
714,571251972,weekend,43.3
715,571251978,weekend,13.33
716,571251984,weekend,42.0
717,571251984,weekend,40.5
718,571252008,weekend,44.49
719,571252008,weekend,46.23
720,571252016,weekend,46.23
721,571252016,weekend,44.49
722,571252042,weekend,15.41
723,571252042,weekend,13.42
724,571252044,weekend,13.42
725,571252044,weekend,15.41
726,571252050,weekend,18.17
727,571252050,weekend,23.1
728,571252052,weekend,23.1
729,571252052,weekend,18.17
730,571252054,weekend,49.72
731,571252054,weekend,36.45
732,571252056,weekend,36.45
733,571252056,weekend,49.72
734,571252062,weekend,44.49
735,571252064,weekend,46.23
736,571252064,weekend,44.49
737,571252170,weekend,45.37
738,571252170,weekend,39.09
739,571252172,weekend,39.09
740,571252172,weekend,45.37
741,571252202,weekend,50.0
742,571252202,weekend,51.87
743,571252224,weekend,43.3
744,571252224,weekend,48.1
745,571252226,weekend,43.3
746,571252226,weekend,48.1
747,571252228,weekend,48.1
748,571252228,weekend,43.3
749,571252258,weekend,45.37
750,571252258,weekend,39.09
753,571252284,weekend,38.59
754,571252284,weekend,25.6
756,571252296,weekend,38.59
757,571252296,weekend,25.6
758,571252298,weekend,25.6
759,571252298,weekend,38.59
762,571253084,weekend,15.53
763,571253084,weekend,15.58
764,571253086,weekend,15.58
765,571253086,weekend,15.53
766,571253116,weekend,41.27
767,571253116,weekend,43.84
768,571253120,weekend,23.86
769,571253120,weekend,46.04
770,571253130,weekend,39.09
771,571253130,weekend,45.37
772,571253132,weekend,45.37
773,571253132,weekend,39.09
775,571253456,weekend,20.71
776,571253456,weekend,33.09
777,571253458,weekend,33.09
778,571253458,weekend,20.71
787,571253508,weekend,46.23
788,571253508,weekend,44.49
789,571253510,weekend,44.49
790,571253510,weekend,46.23
792,571253584,weekend,58.83
793,571253584,weekend,46.42
794,571253586,weekend,46.42
795,571253586,weekend,58.83
797,571253936,weekend,15.38
798,571253936,weekend,14.6
799,571253938,weekend,14.6
800,571253938,weekend,15.38
801,571254121,weekend,42.47
802,571254121,weekend,40.61
803,571254122,weekend,40.61
804,571254122,weekend,42.47
805,571254132,weekend,43.84
806,571254132,weekend,41.27
807,571254135,weekend,43.84
808,571254135,weekend,41.27
815,571254487,weekend,15.05
816,571254487,weekend,16.09
817,571254488,weekend,16.09
818,571254488,weekend,15.05
819,571254588,weekend,31.24
820,571254588,weekend,35.21
822,571254903,weekend,23.1
823,571254903,weekend,18.17
824,571254904,weekend,18.17
825,571254904,weekend,23.1
828,571255162,weekend,44.49
829,571255162,weekend,46.23
830,571255163,weekend,46.23
831,571255163,weekend,44.49
832,571255179,weekend,14.53
833,571255179,weekend,13.71
834,571255180,weekend,13.71
835,571255180,weekend,14.53
836,571255187,weekend,30.42
837,571255187,weekend,29.11
838,571255188,weekend,29.11
839,571255188,weekend,30.42
840,571255388,weekend,16.87
841,571255388,weekend,14.58
842,571255389,weekend,14.58
843,571255389,weekend,16.87
844,571343012,weekend,58.25
845,571343012,weekend,63.18
846,571343013,weekend,63.18
847,571343013,weekend,58.25
848,571343017,weekend,58.25
849,571343017,weekend,63.18
850,571343912,weekend,14.78
851,571343912,weekend,11.53
852,571343935,weekend,18.23
853,571343935,weekend,16.63
854,571343953,weekend,18.23
855,571343953,weekend,16.63
856,571343954,weekend,16.63
857,571343954,weekend,18.23
858,571343975,weekend,19.72
859,571343975,weekend,15.97
860,571343978,weekend,15.97
861,571343978,weekend,19.72
862,571343979,weekend,19.72
863,571343979,weekend,15.97
864,571350715,weekend,15.3
865,571350715,weekend,19.5
866,571351034,weekend,58.25
867,571351034,weekend,63.18
868,571352258,weekend,19.43
869,571352258,weekend,19.96
878,571352422,weekend,18.96
879,571352422,weekend,15.52
880,571352432,weekend,14.82
881,571352432,weekend,14.43
882,571352434,weekend,8.93
883,571352434,weekend,17.75
884,571352438,weekend,17.7
885,571352442,weekend,24.1
886,571352444,weekend,24.1
887,571352444,weekend,17.7
889,571352452,weekend,66.21
901,571352518,weekend,66.21
903,571352986,weekend,17.12
904,571352986,weekend,15.66
905,571352990,weekend,19.43
906,571352990,weekend,19.96
907,571352992,weekend,15.52
908,571352992,weekend,18.96
909,571352998,weekend,16.05
910,571352998,weekend,16.23
911,571353010,weekend,16.05
912,571353010,weekend,16.23
913,571353018,weekend,16.05
914,571353018,weekend,16.23
915,571353040,weekend,16.05
916,571353040,weekend,16.23
917,571353152,weekend,14.06
918,571353152,weekend,12.84
919,571353168,weekend,14.06
920,571353168,weekend,12.84
921,571353178,weekend,14.06
922,571353178,weekend,12.84
923,571353196,weekend,13.34
924,571353196,weekend,13.14
925,571353246,weekend,13.34
926,571353246,weekend,13.14
927,571353250,weekend,13.57
928,571353250,weekend,16.45
929,571353254,weekend,15.17
930,571353254,weekend,15.28
931,571353302,weekend,16.45
932,571353302,weekend,13.57
933,571353310,weekend,12.84
934,571353310,weekend,14.06
935,571353544,weekend,12.87
936,571353544,weekend,12.38
937,571353546,weekend,12.38
938,571353546,weekend,12.87
939,571353548,weekend,13.14
940,571353548,weekend,13.34
941,571353616,weekend,15.3
942,571353616,weekend,19.5
943,571353718,weekend,15.28
944,571353718,weekend,15.17
945,571353724,weekend,15.17
946,571353724,weekend,15.28
947,571353726,weekend,15.28
948,571353726,weekend,15.17
949,571353728,weekend,15.17
950,571353728,weekend,15.28
951,571353732,weekend,15.28
952,571353732,weekend,15.17
953,571353736,weekend,15.17
954,571353736,weekend,15.28
955,571353738,weekend,15.28
956,571353738,weekend,15.17
957,571353740,weekend,15.17
958,571353740,weekend,15.28
959,571353742,weekend,15.17
960,571353742,weekend,15.28
961,571353744,weekend,15.28
962,571353744,weekend,15.17
963,571353782,weekend,13.81
964,571353782,weekend,11.5
965,571353784,weekend,11.5
966,571353784,weekend,13.81
967,571353786,weekend,11.5
968,571353786,weekend,13.81
969,571353788,weekend,13.81
970,571353788,weekend,11.5
971,571353802,weekend,13.62
972,571353802,weekend,16.83
973,571353804,weekend,16.83
974,571353804,weekend,13.62
975,571353815,weekend,18.6
976,571353815,weekend,18.22
977,571353827,weekend,17.56
978,571353827,weekend,15.97
979,571353835,weekend,17.51
980,571353835,weekend,15.48
981,571353841,weekend,17.51
982,571353841,weekend,15.48
983,571353857,weekend,17.51
984,571353857,weekend,15.48
985,571353861,weekend,17.51
986,571353861,weekend,15.48
987,571353863,weekend,17.51
988,571353863,weekend,15.48
989,571353865,weekend,15.48
990,571353865,weekend,17.51
991,571353920,weekend,18.05
992,571353920,weekend,15.46
993,571353924,weekend,14.75
994,571353924,weekend,13.81
995,571354247,weekend,16.63
996,571354247,weekend,18.23
997,571354249,weekend,18.23
998,571354249,weekend,16.63
999,571354335,weekend,15.97
1000,571354335,weekend,19.72
1001,571354337,weekend,19.72
1002,571354337,weekend,15.97
1003,571354407,weekend,14.75
1004,571354407,weekend,13.81
1005,571354409,weekend,13.81
1006,571354409,weekend,14.75
1007,571354576,weekend,13.93
1008,571354576,weekend,14.02
1009,571354580,weekend,12.15
1010,571354580,weekend,10.18
1011,571354582,weekend,14.02
1012,571354582,weekend,13.93
1013,571354584,weekend,13.93
1014,571354584,weekend,14.02
1015,571354590,weekend,13.93
1016,571354590,weekend,14.02
1017,571354818,weekend,11.68
1018,571354818,weekend,16.15
1019,571354826,weekend,15.58
1020,571354826,weekend,15.53
1021,571355060,weekend,19.96
1022,571355060,weekend,19.43
1023,571355120,weekend,15.66
1024,571355120,weekend,17.12
1025,571356158,weekend,18.6
1026,571356158,weekend,18.22
1027,571356316,weekend,17.46
1028,571356316,weekend,15.73
1029,571356726,weekend,8.21
1030,571356726,weekend,15.87
1031,571357150,weekend,13.14
1032,571357150,weekend,13.34
1033,571357203,weekend,65.15
1034,571357203,weekend,69.85
1035,571357227,weekend,23.08
1036,571357227,weekend,22.16
1037,571357231,weekend,13.05
1038,571357235,weekend,13.9
1039,571357237,weekend,18.09
1040,571357241,weekend,18.09
1041,571357247,weekend,12.15
1042,571357247,weekend,10.18
1043,571357249,weekend,16.83
1044,571357249,weekend,13.62
1045,571357255,weekend,22.58
1046,571357277,weekend,63.18
1047,571357277,weekend,58.25
1048,571357291,weekend,50.09
1049,571357291,weekend,57.43
1050,571357293,weekend,57.43
1051,571357293,weekend,50.09
1052,571357400,weekend,12.86
1053,571357402,weekend,20.78
1054,571357404,weekend,22.58
1055,571357406,weekend,13.42
1056,571357576,weekend,14.75
1057,571357576,weekend,13.81
1058,571357693,weekend,14.02
1059,571357693,weekend,13.93
1060,571357697,weekend,13.62
